No.,正誤,分野名,大分類,中分類,出典
14,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q28.html"",""平成20年秋期 問28"")"
15,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q29.html"",""平成20年秋期 問29"")"
16,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q32.html"",""平成20年秋期 問32"")"
17,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q33.html"",""平成20年秋期 問33"")"
18,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q36.html"",""平成20年秋期 問36"")"
19,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q38.html"",""平成20年秋期 問38"")"
20,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q39.html"",""平成20年秋期 問39"")"
21,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q42.html"",""平成20年秋期 問42"")"
22,×,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q43.html"",""平成20年秋期 問43"")"
23,○,テクノロジ系,技術要素,ヒューマンインタフェース,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q46.html"",""平成20年秋期 問46"")"
24,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q47.html"",""平成20年秋期 問47"")"
25,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q50.html"",""平成20年秋期 問50"")"
26,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q52.html"",""平成20年秋期 問52"")"
27,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q54.html"",""平成20年秋期 問54"")"
28,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q55.html"",""平成20年秋期 問55"")"
29,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q58.html"",""平成20年秋期 問58"")"
30,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q60.html"",""平成20年秋期 問60"")"
31,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q62.html"",""平成20年秋期 問62"")"
32,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q63.html"",""平成20年秋期 問63"")"
33,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q66.html"",""平成20年秋期 問66"")"
34,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q67.html"",""平成20年秋期 問67"")"
35,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q69.html"",""平成20年秋期 問69"")"
36,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q71.html"",""平成20年秋期 問71"")"
37,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q73.html"",""平成20年秋期 問73"")"
38,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q76.html"",""平成20年秋期 問76"")"
39,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q77.html"",""平成20年秋期 問77"")"
40,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""http://www.ap-siken.com/kakomon/20_aki/q79.html"",""平成20年秋期 問79"")"
 
